attack,threshold_method,threshold,tpr,fpr,fnr,precision,f1,tn,fp,fn,tp,auc,eer
SSL Renegotiation,min,0.010229128876264112,1.0,0.9999995145440185,0.0,0.04304250268283958,0.08253259588584112,1,2059918,0,92652,0.9305859770489322,0.15188019876411035
SSL Renegotiation,max,1575826105023763.2,0.0,0.0,1.0,0.0,0.0,2059919,0,92652,0,0.9305859770489322,0.15188019876411035
SSL Renegotiation,max+std,1579682849329580.2,0.0,0.0,1.0,0.0,0.0,2059919,0,92652,0,0.9305859770489322,0.15188019876411035
SSL Renegotiation,mean+3sigma,11590374614102.19,0.08428312394767518,0.0018898801360636025,0.9157168760523249,0.6673218253290036,0.14966364490101006,2056026,3893,84843,7809,0.9305859770489322,0.15188019876411035
SSL Renegotiation,median+1.5MAD,0.5097328341398264,0.8482709493588914,0.17068972129486645,0.15172905064110864,0.1826913466030995,0.3006351689671858,1708312,351607,14058,78594,0.9305859770489322,0.15188019876411035
SSL Renegotiation,p95,0.8063270077344467,0.847990329404654,0.04928737489192536,0.15200967059534598,0.4362562189054726,0.5761215480956781,1958391,101528,14084,78568,0.9305859770489322,0.15188019876411035
SSL Renegotiation,p99,0.8908594366087424,0.847990329404654,0.024723302226932226,0.15200967059534598,0.6067214431333786,0.7073482543169418,2008991,50928,14084,78568,0.9305859770489322,0.15188019876411035
Fuzzing,mean,0.45555762892034446,0.9807732743661373,0.7357187267273833,0.01922672563386274,0.24726239422688195,0.3949532643320621,464172,1292184,8321,424462,0.5335734871652859,0.4610762822297264
Fuzzing,min,0.0030095079234395846,1.0,0.9999994306393465,0.0,0.1976956226606089,0.33012665141321956,1,1756355,0,432783,0.5335734871652859,0.4610762822297264
Fuzzing,max,957.4112208168818,0.0,0.0,1.0,0.0,0.0,1756356,0,432783,0,0.5335734871652859,0.4610762822297264
Fuzzing,max+std,959.3594920222818,0.0,0.0,1.0,0.0,0.0,1756356,0,432783,0,0.5335734871652859,0.4610762822297264
Fuzzing,mean+3sigma,6.30037124511996,1.1553134018665243e-05,5.693606535349325e-06,0.9999884468659813,0.3333333333333333,2.3105467215652566e-05,1756346,10,432778,5,0.5335734871652859,0.4610762822297264
Fuzzing,median+1.5MAD,0.5825885110792992,2.0795641233597436e-05,0.0025478889245688233,0.9999792043587664,0.002007136485280999,4.1164780328723635e-05,1751881,4475,432774,9,0.5335734871652859,0.4610762822297264
Fuzzing,p95,0.5735526424777677,4.621253607466097e-05,0.12207889516703903,0.9999537874639254,9.326879132973316e-05,6.180307377587425e-05,1541942,214414,432763,20,0.5335734871652859,0.4610762822297264
Fuzzing,p99,0.5774114408908586,3.2348775252262684e-05,0.0380349997380941,0.9999676512247477,0.00020952751545265426,5.604483586869496e-05,1689553,66803,432769,14,0.5335734871652859,0.4610762822297264
