fpr,tpr,threshold
0.218533,0.965043,0.009309
0.219483,0.965170,0.009249
0.220733,0.965273,0.009194
0.221967,0.965410,0.009127
0.223383,0.965543,0.009053
0.224583,0.965670,0.008985
0.225633,0.965820,0.008929
0.226833,0.966000,0.008859
0.228033,0.966103,0.008796
0.229183,0.966227,0.008738
0.230567,0.966337,0.008686
0.231633,0.966477,0.008634
0.233283,0.966597,0.008574
0.234817,0.966707,0.008512
0.235917,0.966817,0.008468
0.237200,0.966947,0.008418
0.238450,0.967073,0.008367
0.240067,0.967183,0.008307
0.241383,0.967300,0.008254
0.243050,0.967413,0.008197
0.244150,0.967537,0.008147
0.245233,0.967673,0.008086
0.246500,0.967787,0.008040
0.247783,0.967920,0.007990
0.248883,0.968057,0.007946
0.249983,0.968157,0.007895
0.251067,0.968273,0.007854
0.252717,0.968383,0.007792
0.254133,0.968510,0.007742
0.255617,0.968627,0.007694
0.256950,0.968727,0.007654
0.258083,0.968830,0.007616
0.259483,0.968940,0.007570
0.260967,0.969057,0.007527
0.261967,0.969163,0.007485
0.263400,0.969290,0.007444
0.264817,0.969410,0.007399
0.266800,0.969543,0.007342
0.268183,0.969677,0.007295
0.269783,0.969800,0.007251
0.271517,0.969900,0.007201
0.273117,0.970030,0.007159
0.274567,0.970163,0.007116
0.276317,0.970267,0.007068
0.277567,0.970380,0.007036
0.278967,0.970493,0.006998
0.280517,0.970597,0.006954
0.282333,0.970710,0.006907
0.283883,0.970810,0.006866
0.285633,0.970907,0.006824
0.287350,0.971030,0.006785
0.289100,0.971140,0.006746
0.291017,0.971293,0.006696
0.293117,0.971390,0.006645
0.295233,0.971500,0.006594
0.296783,0.971607,0.006558
0.298917,0.971703,0.006511
0.301950,0.971810,0.006457
0.303583,0.971903,0.006428
0.305450,0.972017,0.006396
0.308050,0.972127,0.006352
0.310533,0.972217,0.006311
0.312933,0.972327,0.006278
0.316200,0.972420,0.006236
0.319400,0.972520,0.006203
0.321717,0.972613,0.006176
0.324517,0.972717,0.006143
0.326533,0.972817,0.006109
0.328367,0.972917,0.006083
0.330433,0.973013,0.006046
0.331800,0.973117,0.006016
0.333283,0.973213,0.005988
0.335217,0.973323,0.005952
0.337733,0.973430,0.005905
0.339367,0.973543,0.005871
0.341517,0.973650,0.005821
0.343483,0.973763,0.005780
0.345367,0.973857,0.005744
0.347050,0.973970,0.005708
0.349000,0.974093,0.005667
0.351183,0.974193,0.005627
0.353000,0.974303,0.005592
0.355517,0.974413,0.005555
0.357500,0.974523,0.005526
0.359983,0.974620,0.005490
0.362450,0.974723,0.005459
0.365450,0.974823,0.005424
0.368283,0.974940,0.005391
0.370650,0.975043,0.005365
0.374300,0.975150,0.005329
0.378133,0.975243,0.005295
0.380283,0.975337,0.005272
0.383283,0.975450,0.005237
0.386033,0.975550,0.005209
0.388617,0.975640,0.005180
0.390217,0.975743,0.005154
0.391450,0.975843,0.005136
0.396517,0.975937,0.005103
0.398867,0.976030,0.005081
0.401217,0.976133,0.005051
0.403633,0.976220,0.005026
0.406167,0.976347,0.005001
0.408750,0.976463,0.004975
0.412233,0.976553,0.004944
0.414633,0.976643,0.004917
0.415983,0.976753,0.004897
0.419000,0.976863,0.004857
0.420500,0.976987,0.004822
0.422200,0.977103,0.004792
0.424233,0.977207,0.004763
0.426633,0.977327,0.004729
0.428767,0.977427,0.004707
0.430117,0.977573,0.004683
0.431367,0.977687,0.004664
0.433167,0.977797,0.004641
0.436117,0.977907,0.004620
0.438683,0.978010,0.004599
0.440950,0.978127,0.004585
0.443000,0.978230,0.004570
0.445217,0.978340,0.004551
0.447700,0.978443,0.004528
0.449617,0.978543,0.004511
0.450933,0.978657,0.004497
0.452033,0.978780,0.004482
0.453667,0.978893,0.004467
0.455700,0.978993,0.004454
0.458433,0.979093,0.004436
0.459650,0.979217,0.004428
0.460917,0.979310,0.004420
0.463617,0.979427,0.004406
0.465417,0.979533,0.004395
0.466983,0.979640,0.004384
0.468133,0.979757,0.004371
0.469667,0.979890,0.004361
0.471667,0.980013,0.004349
0.473783,0.980130,0.004339
0.475450,0.980243,0.004329
0.477500,0.980340,0.004320
0.479967,0.980450,0.004308
0.483317,0.980567,0.004295
0.487850,0.980670,0.004285
0.492950,0.980777,0.004272
0.496300,0.980887,0.004260
0.500267,0.980970,0.004250
0.504050,0.981057,0.004240
0.514750,0.981140,0.004231
0.520133,0.981230,0.004222
0.522400,0.981327,0.004213
0.524550,0.981423,0.004204
0.526733,0.981523,0.004194
0.528450,0.981617,0.004183
0.529967,0.981733,0.004172
0.531950,0.981830,0.004163
0.534917,0.981940,0.004148
0.537650,0.982040,0.004137
0.539167,0.982157,0.004130
0.541133,0.982270,0.004123
0.542700,0.982373,0.004117
0.544867,0.982480,0.004110
0.546183,0.982590,0.004105
0.548100,0.982757,0.004098
0.550000,0.982850,0.004091
0.552850,0.982960,0.004083
0.555433,0.983070,0.004075
0.557750,0.983163,0.004069
0.560700,0.983257,0.004062
0.564567,0.983353,0.004056
0.568383,0.983437,0.004050
0.572983,0.983523,0.004043
0.577750,0.983610,0.004036
0.583517,0.983700,0.004028
0.587950,0.983790,0.004017
0.590100,0.983887,0.004008
0.592667,0.983990,0.003996
0.594583,0.984110,0.003987
0.596133,0.984217,0.003980
0.598667,0.984313,0.003970
0.601750,0.984423,0.003959
0.603600,0.984517,0.003949
0.604950,0.984643,0.003937
0.606717,0.984763,0.003926
0.608067,0.984893,0.003916
0.609450,0.984983,0.003908
0.610867,0.985073,0.003897
0.613150,0.985180,0.003882
0.616083,0.985287,0.003870
0.618550,0.985377,0.003858
0.621750,0.985480,0.003848
0.626517,0.985570,0.003839
