fpr,tpr,threshold
0.844683,0.998310,0.251832
0.848650,0.998400,0.237120
0.852150,0.998493,0.225101
0.855983,0.998590,0.209714
0.859100,0.998713,0.195523
0.862467,0.998810,0.183806
0.865717,0.998903,0.173114
0.867833,0.999023,0.162869
0.872467,0.999117,0.145799
0.881533,0.999200,0.114756
0.886750,0.999290,0.104912
0.908817,0.999373,0.076245
0.920950,0.999460,0.066161
0.930400,0.999547,0.060527
0.959233,0.999630,0.051564
0.980067,0.999717,0.046185
0.990733,0.999807,0.041776
0.994617,0.999903,0.039082
0.999050,0.999990,0.033006
1.000000,1.000000,0.024065
