attack,variant,split,target_benign_fpr,shared_q,eta_global,eta_node,calib_benign_fpr,heldout_benign_fpr,heldout_fpr_minus_target,TPR,FPR,Precision,F1,AUC,EER,n_calib_benign,n_eval_benign,n_attack,benignLimit,ref_TPR,ref_F1,dTPR_vs_ref,dF1_vs_ref
Recon-OSScan,single,fwd,0.01,0.994768,45.94223817941811,3.080233719383158,0.009867,0.0,-0.01,0.05342,0.0,1.0,0.101422034895863,0.8823189960000001,0.13886333333333334,15000,15000,50000,150000,0.04076,0.0778798937654049,0.012660000000000005,0.023542141130458105
Recon-OSScan,single,fwd,0.05,0.968545,43.0932946441463,2.709870586391621,0.05,0.0,-0.05,0.08616,0.0,1.0,0.158650659203064,0.8823189960000001,0.13886333333333334,15000,15000,50000,150000,0.11462,0.2002795736501834,-0.02846,-0.041628914447119386
Recon-OSScan,single,rev,0.01,0.99499,16.052127046681175,0.8763034496691295,0.009933,0.3002,0.2902,0.658,0.3002,0.8796085875464535,0.7528345708957358,0.710118848,0.3441466666666667,15000,15000,50000,150000,0.04076,0.0778798937654049,0.61724,0.6749546771303309
Recon-OSScan,single,rev,0.05,0.973212,15.463922367212257,0.5671981105340663,0.049867,0.3154,0.2654,0.77948,0.3154,0.891751515844869,0.8318446187503334,0.710118848,0.3441466666666667,15000,15000,50000,150000,0.11462,0.2002795736501834,0.66486,0.63156504510015
MITM-ArpSpoofing,double,fwd,0.01,0.994657,41.23287735218057,2.9402218622638174,0.01,0.0,-0.01,0.4509,0.0,1.0,0.6215452477772417,0.9849689546666666,0.06511333333333333,15000,15000,50000,150000,0.52362,0.6846495815899581,-0.07271999999999995,-0.0631043338127164
MITM-ArpSpoofing,double,fwd,0.05,0.970212,39.65147677951356,2.6296945050520693,0.05,0.0,-0.05,0.68316,0.0,1.0,0.811758834573065,0.9849689546666666,0.06511333333333333,15000,15000,50000,150000,0.82402,0.8889104638619202,-0.14085999999999999,-0.07715162928885522
MITM-ArpSpoofing,double,rev,0.01,0.99499,14.82148741446269,0.8097559508595129,0.009933,0.304,0.294,0.96236,0.304,0.9134363491400584,0.9372601725783517,0.9134051506666667,0.14216666666666666,15000,15000,50000,150000,0.52362,0.6846495815899581,0.43874,0.25261059098839356
MITM-ArpSpoofing,double,rev,0.05,0.973212,14.283918213139183,0.5505256922003603,0.05,0.319267,0.269267,0.9775,0.31926666666666664,0.9107595408467501,0.9429503009723723,0.9134051506666667,0.14216666666666666,15000,15000,50000,150000,0.82402,0.8889104638619202,0.15348000000000006,0.05403983711045213
MITM-ArpSpoofing,single,fwd,0.01,0.994768,45.94223817941811,3.080233719383158,0.009867,0.0,-0.01,0.51282,0.0,1.0,0.6779656535476791,0.9840525626666667,0.06575333333333333,15000,15000,50000,150000,0.52362,0.6846495815899581,-0.01079999999999992,-0.006683928042279019
MITM-ArpSpoofing,single,fwd,0.05,0.968545,43.0932946441463,2.709870586391621,0.05,0.0,-0.05,0.7041,0.0,1.0,0.8263599554016783,0.9840525626666667,0.06575333333333333,15000,15000,50000,150000,0.82402,0.8889104638619202,-0.11992000000000003,-0.0625505084602419
MITM-ArpSpoofing,single,rev,0.01,0.99499,16.052127046681175,0.8763034496691295,0.009933,0.3002,0.2902,0.9516,0.3002,0.9135418466678187,0.9321826356984023,0.9182293533333334,0.15493333333333337,15000,15000,50000,150000,0.52362,0.6846495815899581,0.42798,0.24753305410844417
MITM-ArpSpoofing,single,rev,0.05,0.973212,15.463922367212257,0.5671981105340663,0.049867,0.3154,0.2654,0.97032,0.3154,0.9111499239393769,0.9398045463790715,0.9182293533333334,0.15493333333333337,15000,15000,50000,150000,0.82402,0.8889104638619202,0.14629999999999999,0.05089408251715133
Mirai-greeth_flood,double,fwd,0.01,0.994657,41.23287735218057,2.9402218622638174,0.01,0.0,-0.01,0.33066,0.0,1.0,0.49698645784798523,0.980188728,0.07068333333333332,15000,15000,50000,150000,0.40786,0.5769535449555819,-0.07719999999999999,-0.0799670871075967
Mirai-greeth_flood,double,fwd,0.05,0.970212,39.65147677951356,2.6296945050520693,0.05,0.0,-0.05,0.54928,0.0,1.0,0.7090777651554271,0.980188728,0.07068333333333332,15000,15000,50000,150000,0.71162,0.8172025723472669,-0.16234000000000004,-0.10812480719183981
Mirai-greeth_flood,double,rev,0.01,0.99499,14.82148741446269,0.8097559508595129,0.009933,0.304,0.294,0.95526,0.304,0.9128490338856717,0.9335730969576732,0.8932677960000002,0.1646233333333333,15000,15000,50000,150000,0.40786,0.5769535449555819,0.5474,0.3566195520020913
Mirai-greeth_flood,double,rev,0.05,0.973212,14.283918213139183,0.5505256922003603,0.05,0.319267,0.269267,0.96738,0.31926666666666664,0.9099100793859815,0.9377653696271738,0.8932677960000002,0.1646233333333333,15000,15000,50000,150000,0.71162,0.8172025723472669,0.25576,0.12056279727990693
Mirai-greeth_flood,single,fwd,0.01,0.994768,45.94223817941811,3.080233719383158,0.009867,0.0,-0.01,0.36922,0.0,1.0,0.5393143541578417,0.9786286666666667,0.07128333333333335,15000,15000,50000,150000,0.40786,0.5769535449555819,-0.03864000000000001,-0.03763919079774025
Mirai-greeth_flood,single,fwd,0.05,0.968545,43.0932946441463,2.709870586391621,0.05,0.0,-0.05,0.55724,0.0,1.0,0.7156764532120932,0.9786286666666667,0.07128333333333335,15000,15000,50000,150000,0.71162,0.8172025723472669,-0.15438000000000007,-0.10152611913517373
Mirai-greeth_flood,single,rev,0.01,0.99499,16.052127046681175,0.8763034496691295,0.009933,0.3002,0.2902,0.94514,0.3002,0.9130023183925812,0.9287932389937107,0.8953637560000002,0.17741,15000,15000,50000,150000,0.40786,0.5769535449555819,0.53728,0.35183969403812876
