device_id,device_name,attack,tpr_rebuilt,tpr_orig,fpr_rebuilt,fpr_orig,auc_rebuilt,auc_orig,eer_rebuilt,eer_orig
4,Philips_B120N10_Baby_Monitor,mirai.syn,0.999864553704456,0.999898415278342,0.029673590504451,0.0382332800730426,0.999978271802502,0.9999945886020504,0.0001247877448958,0.0001247877448958
4,Philips_B120N10_Baby_Monitor,mirai.udp,0.999935493977902,0.999935493977902,0.029673590504451,0.0382332800730426,0.9999885554764736,0.9999974156679362,6.0785309610932224e-05,6.0785309610932224e-05
4,Philips_B120N10_Baby_Monitor,mirai.udpplain,1.0,1.0,0.029673590504451,0.0382332800730426,0.9999972120207228,0.9999992874693284,0.000118939658999,0.0001065646466239
4,Philips_B120N10_Baby_Monitor,gafgyt.combo,0.999707662677122,0.9998108405557848,0.029673590504451,0.0382332800730426,0.9999533950868206,0.99998937349494,0.0002888301542488,0.0002888301542488
4,Philips_B120N10_Baby_Monitor,gafgyt.junk,0.9993650569684998,0.9995767046456664,0.029673590504451,0.0382332800730426,0.9998993393308978,0.9999763158471284,0.0006313267999318,0.0006313267999318
4,Philips_B120N10_Baby_Monitor,gafgyt.scan,0.9997846297426324,0.9998564198284215,0.029673590504451,0.0382332800730426,0.9999659791846932,0.9999934125509046,0.0002218143229316,0.0002218143229316
4,Philips_B120N10_Baby_Monitor,gafgyt.tcp,0.0003780473315259,0.0003456432745379,0.029673590504451,0.0382332800730426,0.8223277295928955,0.9592193913460892,0.177757037662284,0.0407434116663298
4,Philips_B120N10_Baby_Monitor,gafgyt.udp,0.0001701612750751,0.0002174282959293,0.029673590504451,0.0382332800730426,0.822294250261779,0.9592217112900502,0.1777542893327136,0.0407441471614124
5,Provision_PT_737E_Security_Camera,mirai.scan,1.0,0.99993800436036,0.0226833976833976,0.0152831402831402,0.9999994082355288,0.9999970145814888,3.099781982000599e-05,3.099781982000599e-05
5,Provision_PT_737E_Security_Camera,mirai.ack,1.0,0.999801829771774,0.0226833976833976,0.0152831402831402,0.9999982917275748,0.9999903746951836,0.0001795226945506,0.0001795226945506
5,Provision_PT_737E_Security_Camera,mirai.syn,1.0,0.9998174793903812,0.0226833976833976,0.0152831402831402,0.9999983165194736,0.999991002677478,0.0001869079360485,0.0001869079360485
5,Provision_PT_737E_Security_Camera,mirai.udp,1.0,0.9999743996723158,0.0226833976833976,0.0152831402831402,0.9999997178857069,0.9999982826035,0.0001284381948454,0.0001284381948454
5,Provision_PT_737E_Security_Camera,mirai.udpplain,1.0,0.9998941444222932,0.0226833976833976,0.0152831402831402,0.9999994976287736,0.9999955552918628,0.0001510079655754,0.0001510079655754
5,Provision_PT_737E_Security_Camera,gafgyt.combo,1.0,0.9999348321928968,0.0226833976833976,0.0152831402831402,0.9999989070553588,0.999996938706616,0.0001456053875408,0.0001456053875408
5,Provision_PT_737E_Security_Camera,gafgyt.junk,0.9998058126739596,0.9996116253479188,0.0226833976833976,0.0152831402831402,0.999990398932078,0.9999588049623652,0.0005002291760334,0.000839109385779
5,Provision_PT_737E_Security_Camera,gafgyt.scan,1.0,0.9997610676861112,0.0226833976833976,0.0152831402831402,0.9999969249380452,0.9999875514902652,0.0003144745055179,0.0003144745055179
5,Provision_PT_737E_Security_Camera,gafgyt.tcp,0.999904315376519,0.0007176346761075,0.0226833976833976,0.0152831402831402,0.9903522715000086,0.9490294537467056,0.0096535440808716,0.0509986651564012
5,Provision_PT_737E_Security_Camera,gafgyt.udp,0.9997596408072223,0.0006249339012219,0.0226833976833976,0.0152831402831402,0.990339633045693,0.9490241166205728,0.0096526674172307,0.05099601616857
6,Provision_PT_838_Security_Camera,mirai.scan,0.9998764109747056,0.9998764109747056,0.0090336987413723,0.0284206252537555,0.9999987340446134,0.9999962188599228,0.0001125456291718,0.0001125456291718
6,Provision_PT_838_Security_Camera,mirai.ack,0.9997930927461766,0.9997930927461766,0.0090336987413723,0.0284206252537555,0.9999978998451704,0.9999936557822852,0.0002049558599608,0.0002049558599608
6,Provision_PT_838_Security_Camera,mirai.syn,0.9999191605632892,0.9999191605632892,0.0090336987413723,0.0284206252537555,0.9999990563809154,0.9999975137688466,9.925477855104652e-05,9.925477855104652e-05
6,Provision_PT_838_Security_Camera,mirai.udp,0.999974780591143,0.999974780591143,0.0090336987413723,0.0284206252537555,0.9999997305782804,0.9999989613504726,9.173265591728016e-05,9.173265591728016e-05
6,Provision_PT_838_Security_Camera,mirai.udpplain,0.9999814074556104,0.9999256298224412,0.0090336987413723,0.0284206252537555,0.9999993489212532,0.9999976089368918,9.723247749881286e-05,9.723247749881286e-05
6,Provision_PT_838_Security_Camera,gafgyt.combo,0.9999652355292892,0.9998957065878672,0.0090336987413723,0.0284206252537555,0.9999985109006658,0.9999965807174056,0.0001971045275041,0.0001971045275041
6,Provision_PT_838_Security_Camera,gafgyt.junk,0.9999311958167056,0.9998967937250584,0.0090336987413723,0.0284206252537555,0.9999978629638564,0.9999965150946544,0.0002898617161623,0.0002898617161623
6,Provision_PT_838_Security_Camera,gafgyt.scan,0.9996478501250132,0.9996126351375144,0.0090336987413723,0.0284206252537555,0.999995288940974,0.999987986442044,0.0004826530013642,0.0004826530013642
6,Provision_PT_838_Security_Camera,gafgyt.tcp,0.0009285466566726,0.0005146162193607,0.0090336987413723,0.0284206252537555,0.9898567477558532,0.9691467788627952,0.0101485563368064,0.0308556386951734
6,Provision_PT_838_Security_Camera,gafgyt.udp,0.0004968564276022,0.0002579831451011,0.0090336987413723,0.0284206252537555,0.9898370212691374,0.9691244285361628,0.0101487801727796,0.0308547760073882
7,Samsung_SNH_1011_N_Webcam,gafgyt.combo,1.0,0.9998636417869744,0.1459252157238734,0.1269415148609779,0.9999715876810684,0.9999704110521926,0.0002151907134827,0.0002151907134827
7,Samsung_SNH_1011_N_Webcam,gafgyt.junk,1.0,0.9998940116587176,0.1459252157238734,0.1269415148609779,0.9999646976512352,0.9999656393181856,0.0002371950654619,0.0002371950654619
7,Samsung_SNH_1011_N_Webcam,gafgyt.scan,0.9999638963102028,0.9997833778612174,0.1459252157238734,0.1269415148609779,0.999963169390274,0.9999623940090168,0.000336169313359,0.000336169313359
7,Samsung_SNH_1011_N_Webcam,gafgyt.tcp,0.9993863964083736,0.0002045345305421,0.1459252157238734,0.1269415148609779,0.8738244757804985,0.8625111708357606,0.1261759242678641,0.1374880633853882
7,Samsung_SNH_1011_N_Webcam,gafgyt.udp,0.9992587034542612,9.04020177730367e-05,0.1459252157238734,0.1269415148609779,0.8738021357775727,0.862501184955499,0.1261742964250613,0.1374902220856879
8,SimpleHome_XCS7_1002_WHT_Security_Camera,mirai.scan,0.9739821467450468,0.9788591334639668,0.1240609572869714,0.1438076840523717,0.9949722243601938,0.994815318270143,0.0416342010413954,0.0358191004004105
8,SimpleHome_XCS7_1002_WHT_Security_Camera,mirai.ack,1.0,1.0,0.1240609572869714,0.1438076840523717,0.9999988659671782,0.9999973083567322,1.3455328310010763e-05,1.794043774668102e-05
