device_id,device_name,attack,tn,fp,fn,tp,tpr,fpr,precision,f1,accuracy,auc,eer
7,Samsung_SNH_1011_N_Webcam,gafgyt.junk,4454,761,0,28305,1.0,0.14592521572387343,0.9738182068396064,0.9867354586812153,0.9772971360381861,0.9999646976512353,0.00023719506546194266
7,Samsung_SNH_1011_N_Webcam,gafgyt.scan,4454,761,1,27697,0.9999638963102029,0.14592521572387343,0.9732588375852133,0.9864306574542346,0.9768480539604412,0.9999631693902741,0.0003361693133590506
7,Samsung_SNH_1011_N_Webcam,gafgyt.tcp,4454,761,60,97723,0.9993863964083737,0.14592521572387343,0.9922728565046098,0.9958169228652805,0.9920289714363386,0.8738244757804985,0.12617592426786417
7,Samsung_SNH_1011_N_Webcam,gafgyt.udp,4454,761,82,110535,0.9992587034542612,0.14592521572387343,0.9931623778033353,0.9962012139892661,0.9927222183852475,0.8738021357775727,0.1261742964250613
8,SimpleHome_XCS7_1002_WHT_Security_Camera,mirai.scan,4081,578,1195,44735,0.9739821467450468,0.12406095728697146,0.9872442786838215,0.9805683723682912,0.9649528553638143,0.9949722243601938,0.04163420104139548
8,SimpleHome_XCS7_1002_WHT_Security_Camera,mirai.ack,4081,578,0,111480,1.0,0.12406095728697146,0.9948419568437773,0.9974143098712523,0.995023204952686,0.9999988659671782,1.3455328310010765e-05
8,SimpleHome_XCS7_1002_WHT_Security_Camera,mirai.syn,4081,578,6,125709,0.9999522729984489,0.12406095728697146,0.9954231235202357,0.9976825580749359,0.9955205792566002,0.9999918440335405,3.1818001034085035e-05
8,SimpleHome_XCS7_1002_WHT_Security_Camera,mirai.udp,4081,578,9,151870,0.9999407423014374,0.12406095728697146,0.996208543240974,0.9980711537260907,0.9962501117939414,0.9999907773308335,2.96288492813358e-05
8,SimpleHome_XCS7_1002_WHT_Security_Camera,mirai.udpplain,4081,578,1,78243,0.9999872194673074,0.12406095728697146,0.9926669288641352,0.9963136281157483,0.993015934284646,0.9999927524860756,0.00017122183066627564
8,SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt.combo,4081,578,4,54279,0.999926312105079,0.12406095728697146,0.9894635142279017,0.9946673996701485,0.9901258864646602,0.9999864217519232,4.6054934325663655e-05
8,SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt.junk,4081,578,14,28565,0.9995101298155988,0.12406095728697146,0.9801667638884123,0.9897439451162467,0.982189060713641,0.9999246035816821,0.0006018833212675782
8,SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt.scan,4081,578,19,27806,0.9993171608265948,0.12406095728697146,0.9796364148816235,0.9893789250831717,0.9816217214628741,0.9998859581981719,0.0006813465402441092
8,SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt.tcp,4081,578,88738,78,0.0008782201405152225,0.12406095728697146,0.11890243902439024,0.0017435622317596568,0.04449317999465097,0.8455912494414125,0.1545419135191179
8,SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt.udp,4081,578,103686,34,0.0003278056305437717,0.12406095728697146,0.05555555555555555,0.0006517655177701951,0.037968610155103846,0.8454924190783266,0.15454033644496837
9,SimpleHome_XCS7_1003_WHT_Security_Camera,mirai.scan,1803,150,0,43674,1.0,0.07680491551459294,0.9965772179627601,0.9982856751011452,0.9967124728779012,0.9999822850777209,0.0009814195906312423
9,SimpleHome_XCS7_1003_WHT_Security_Camera,mirai.ack,1803,150,0,107187,1.0,0.07680491551459294,0.9986025322116325,0.9993007775353807,0.9986256184716877,0.9999999331219385,5.131219270993684e-05
9,SimpleHome_XCS7_1003_WHT_Security_Camera,mirai.syn,1803,150,0,122479,1.0,0.07680491551459294,0.9987767983103507,0.9993880248706694,0.9987945223093738,0.9999987374660426,5.307032225932609e-05
9,SimpleHome_XCS7_1003_WHT_Security_Camera,mirai.udp,1803,150,0,157084,1.0,0.07680491551459294,0.9990460078608953,0.9995227762966168,0.9990568232549658,0.9999990938280787,2.2281072547172214e-05
9,SimpleHome_XCS7_1003_WHT_Security_Camera,mirai.udpplain,1803,150,0,84436,1.0,0.07680491551459294,0.9982266568935758,0.9991125415626368,0.99826366782808,0.999999678599924,2.9608223980292767e-05
9,SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt.combo,1803,150,0,59398,1.0,0.07680491551459294,0.9974810237119635,0.998738923545138,0.9975550520773907,0.9999948794998916,0.00041595443010066505
9,SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt.junk,1803,150,0,27413,1.0,0.07680491551459294,0.9945579218517578,0.9972715366705471,0.9948920520329633,0.9999942657111436,0.00010943712836975157
9,SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt.scan,1803,150,0,28572,1.0,0.07680491551459294,0.9947775224566534,0.9973819248088804,0.995085995085995,0.9999896417842252,0.00041351323511164186
9,SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt.tcp,1803,150,9,98066,0.9999082334947744,0.07680491551459294,0.9984727539301133,0.9991899781446933,0.9984104450753789,0.9805482366063882,0.01945587218576126
9,SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt.udp,1803,150,49,102931,0.9995241794523209,0.07680491551459294,0.998544833674489,0.9990342665521375,0.99810355179019,0.9805046729826988,0.01945866730071618
